main,args:[i32;i8**;],ret:i32
apply_settings,args:[i1;i8*;i8**;i32;%struct.termios*;i8*;],ret:void
screen_columns,args:[],ret:i32
display_settings,args:[i32;%struct.termios*;i8*;],ret:void
eq_mode,args:[%struct.termios*;%struct.termios*;],ret:i1
set_mode,args:[%struct.mode_info*;i1;%struct.termios*;],ret:i1
set_control_char,args:[%struct.control_info*;i8*;%struct.termios*;],ret:void
string_to_baud,args:[i8*;],ret:i32
set_speed,args:[i32;i8*;%struct.termios*;],ret:void
set_window_size,args:[i32;i32;i8*;],ret:void
integer_arg,args:[i8*;i64;],ret:i64
display_window_size,args:[i1;i8*;],ret:void
display_speed,args:[%struct.termios*;i1;],ret:void
recover_mode,args:[i8*;%struct.termios*;],ret:i1
check_speed,args:[%struct.termios*;],ret:void
mode_type_flag,args:[i32;%struct.termios*;],ret:i32*
sane_mode,args:[%struct.termios*;],ret:void
to_uchar,args:[i8;],ret:i8
get_win_size,args:[i32;%struct.winsize*;],ret:i32
memset.inline,args:[i8*;i32;i64;],ret:i8*
wrapf,args:[i8*;],ret:void
putchar_unlocked,args:[i32;],ret:i32
baud_to_value,args:[i32;],ret:i64
strtoul_tcflag_t,args:[i8*;i32;i8**;i32*;i8;],ret:i32
strtoul_cc_t,args:[i8*;i32;i8**;i8*;i8;],ret:i32
display_changed,args:[%struct.termios*;],ret:void
display_all,args:[%struct.termios*;i8*;],ret:void
display_recoverable,args:[%struct.termios*;],ret:void
visible,args:[i8;],ret:i8*
find_mount_point,args:[i8*;%struct.stat*;],ret:i8*
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
usage,args:[i32;],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_blocksize_note,args:[i8*;],ret:void
emit_size_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
add_fs_type,args:[i8*;],ret:void
add_excluded_fs_type,args:[i8*;],ret:void
decode_output_arg,args:[i8*;],ret:void
automount_stat_err,args:[i8*;%struct.stat*;],ret:i32
get_field_list,args:[],ret:void
get_header,args:[],ret:void
get_entry,args:[i8*;%struct.stat*;],ret:void
get_all_entries,args:[],ret:void
get_dev,args:[i8*;i8*;i8*;i8*;i8*;i1;i1;%struct.fs_usage*;i1;],ret:void
print_table,args:[],ret:void
alloc_field,args:[i32;i8*;],ret:void
xnrealloc,args:[i8*;i64;i64;],ret:i8*
alloc_table_row,args:[],ret:void
replace_problematic_chars,args:[i8*;],ret:void
replace_invalid_chars,args:[i8*;],ret:void
replace_control_chars,args:[i8*;],ret:void
mbszero,args:[%struct.__mbstate_t*;],ret:void
c32iscntrl,args:[i32;],ret:i32
memmove.inline,args:[i8*;i8*;i64;],ret:i8*
memset.inline,args:[i8*;i32;i64;],ret:i8*
c_iscntrl,args:[i32;],ret:i1
to_uchar,args:[i8;],ret:i8
get_device,args:[i8*;],ret:i1
get_point,args:[i8*;%struct.stat*;],ret:void
last_device_for_mount,args:[i8*;],ret:i8*
filter_mount_list,args:[i1;],ret:void
devlist_hash,args:[i8*;i64;],ret:i64
